Model Name,Image,Prediction,Confidence,Latency
yolo_onnx,cat.jpg,cat,0.8799,0.0722
yolo_onnx,kitchen.jpg,cup,0.4199,0.0706
yolo_onnx,pizza.jpg,pizza,0.9178,0.0710
yolo_onnx,zidane.jpg,person,0.8248,0.0822
yolo_onnx,bus.jpg,bus,0.9070,0.0681
yolo_notonnx,street.jpg,bus,0.9115,0.3475
yolo_notonnx,batya.jpg,person,0.9039,0.3044
yolo_notonnx,cafe.jpg,chair,0.9191,0.2534
yolo_notonnx,Epic.jpg,person,0.6270,0.2389
yolo_notonnx,hall.jpg,person,0.7959,0.2515
yolo_notonnx,cat.jpg,cat,0.8799,0.2461
yolo_notonnx,kitchen.jpg,cup,0.4199,0.2425
yolo_notonnx,pizza.jpg,pizza,0.9178,0.2475
yolo_notonnx,zidane.jpg,person,0.8248,0.2504
yolo_notonnx,bus.jpg,bus,0.9070,0.2590
resnet50_onnx,street.jpg,minibus,0.9548,0.0723
resnet50_onnx,batya.jpg,desk,0.1379,0.0678
resnet50_onnx,cafe.jpg,dining table,0.6431,0.0660
resnet50_onnx,Epic.jpg,toyshop,0.3405,0.0769
resnet50_onnx,hall.jpg,cinema,0.2461,0.0801
resnet50_onnx,cat.jpg,tiger cat,0.6837,0.0982
resnet50_onnx,kitchen.jpg,wardrobe,0.6246,0.0530
resnet50_onnx,pizza.jpg,pizza,0.9972,0.0623
resnet50_onnx,zidane.jpg,suit,0.8285,0.0542
resnet50_onnx,bus.jpg,minibus,0.9594,0.0600
resnet50_notonnx,street.jpg,minibus,0.9548,0.1474
resnet50_notonnx,batya.jpg,desk,0.1379,0.1204
resnet50_notonnx,cafe.jpg,dining table,0.6431,0.1024
resnet50_notonnx,Epic.jpg,toyshop,0.3405,0.1248
resnet50_notonnx,hall.jpg,cinema,0.2461,0.0938
resnet50_notonnx,cat.jpg,tiger cat,0.6837,0.0954
resnet50_notonnx,kitchen.jpg,wardrobe,0.6246,0.1053
resnet50_notonnx,pizza.jpg,pizza,0.9972,0.0872
resnet50_notonnx,zidane.jpg,suit,0.8285,0.0814
resnet50_notonnx,bus.jpg,minibus,0.9594,0.0810
yolo_onnx,street.jpg,bus,0.9115,0.0867
yolo_onnx,batya.jpg,person,0.9039,0.0754
yolo_onnx,cafe.jpg,chair,0.9191,0.0793
yolo_onnx,Epic.jpg,person,0.6270,0.0837
yolo_onnx,hall.jpg,person,0.7959,0.0718
yolo_onnx,cat.jpg,cat,0.8799,0.0834
yolo_onnx,kitchen.jpg,cup,0.4199,0.0800
yolo_onnx,pizza.jpg,pizza,0.9178,0.0774
yolo_onnx,zidane.jpg,person,0.8248,0.0807
yolo_onnx,bus.jpg,bus,0.9070,0.0788
yolo_notonnx,street.jpg,bus,0.9115,0.3657
yolo_notonnx,batya.jpg,person,0.9039,0.3082
yolo_notonnx,cafe.jpg,chair,0.9191,0.2586
yolo_notonnx,Epic.jpg,person,0.6270,0.2708
yolo_notonnx,hall.jpg,person,0.7959,0.2638
yolo_notonnx,cat.jpg,cat,0.8799,0.2478
yolo_notonnx,kitchen.jpg,cup,0.4199,0.2666
yolo_notonnx,pizza.jpg,pizza,0.9178,0.2333
yolo_notonnx,zidane.jpg,person,0.8248,0.2699
yolo_notonnx,bus.jpg,bus,0.9070,0.2494
resnet50_onnx,img1.jpg,minibus,0.9680,3.0095
resnet50_onnx,img10.jpg,orange,0.8080,0.0283
resnet50_onnx,img2.jpg,suit,0.8120,0.0159
resnet50_onnx,img3.jpg,bath towel,0.2682,0.0170
resnet50_onnx,img4.jpg,baboon,0.5661,0.0155
resnet50_onnx,img5.jpg,lemon,0.8838,0.0146
resnet50_onnx,img6.jpg,monarch,0.6632,0.0149
resnet50_onnx,img7.jpg,jigsaw puzzle,0.3104,0.0147
resnet50_onnx,img8.jpg,soccer ball,0.9756,0.0150
